From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
3669;2954;sea;2983;-1;-1;-1;-1;;Labrador-Newfoundland
2682;2724;sea;2740;-1;-1;-1;-1;;Nova Scotia NE Island
3539;3543;sea;2568;-1;-1;-1;-1;;Niagra Falls
3539;2414;sea;2568;-1;-1;-1;-1;;Niagra Falls ontario-Buffalo
2382;3695;sea;2383;-1;-1;-1;-1;;Detroit-Windsor
2441;3699;sea;2383;-1;-1;-1;-1;;North of Detroit-Windsor
3552;3556;sea;2640;-1;-1;-1;-1;;Michigan-Upper Penninsula
2752;3563;sea;2664;-1;-1;-1;-1;;Sault Ste. Marie US-us islands in river
3563;2776;sea;2664;-1;-1;-1;-1;;islands in center of river-sault ste. marie ca
2752;2776;sea;2664;-1;-1;-1;-1;;sault ste marie us-sault ste marie ca
2776;3562;sea;2664;-1;-1;-1;-1;;sault ste marie ca-ca island in river
3559;3562;sea;2664;-1;-1;-1;-1;;sault ste marie us-ca island in river
3559;3560;sea;2664;-1;-1;-1;-1;;sault ste marie us-us island close to manitoulin
3560;3557;sea;2664;-1;-1;-1;-1;;us island close to manitoulin-manitoulin
3557;3554;sea;2664;-1;-1;-1;-1;;linking manitoulin islands
3444;3558;sea;2664;-1;-1;-1;-1;;linking manitoulin islands
3444;3555;sea;2664;-1;-1;-1;-1;;linking manitoulin islands
3558;3555;sea;2664;-1;-1;-1;-1;;linking manitoulin islands
3555;3553;sea;2630;-1;-1;-1;-1;;linking manitoulin islands
3444;3553;sea;2630;-1;-1;-1;-1;;linking manitoulin islands
3553;2753;sea;2630;-1;-1;-1;-1;;manitoulin-mainland
3555;2713;sea;2664;-1;-1;-1;-1;;manitoulin-mainland
-1;-1;;-1;-1;-1;-1;-1;-1
