strategic_region = {
	id = 163
	name = "STRATEGICREGION_163"
	provinces = {
		6940
		6953
		6954
		6959
		6960
		6961
		6962
		6963
		6965
		6966
		6967
		6968
		6969
		6970
		6971
		6972
		6973
		6974
		6975
		6976
		6990
		6991
		6992
		6993
		6994
		6995
		6996
		6997
		6998
		6999
		7004
		7026
		7027
		7028
		7029
		7030
		7031
		7032
		7033
		7034
		7035
		7036
		7037
		7038
		7039
		7040
		7041
		7046
		7047
		7048
		7049
		7050
		7051
		7052
		7053
		7054
		7055
		7056
		7063
		7064
		7065
		7066
		7067
		7075
		7076
		7078
		7079
		7084
		7085
		7086
		7087
		7136
		7139
		7150
		7152
		7154
		7156
		7165
		7166
		7167
		7168
		7169
		7178
		7198
		7199
		7217
		7218
		7219
		7224
		7225
		7226
		7227
		7228
		7230
		7231
		7232
		7233
		7234
		7235
		7236
		7237
		7238
		7239
		7240
		7241
		7242
		7243
		7244
		7245
		7246
		7247
		7249
		7260
		7261
		7262
		7266
		7267
		7268
		7269
		7271
		7272
		7273
		7275
		7276
		7277
		7278
		7364
		7365
		7370
		7371
		7372
		7374
		7375
		7376
		7377
		7378
		7380		
	}
	weather = {
	}
}
